order_id,user_id,session_id,click_id,order_date,product_id,category,gmv_rub,discount_rub,delivery_fee_rub,payment_type,is_returned,return_date,gross_margin_rub
ord_000000001,u_000007,ss_00000016,clk_0000000007,2026-07-02,p_01555,Fashion,4374,0,83,bank_card,0,,879.17
ord_000000002,u_000020,ss_00000070,clk_0000000059,2026-07-14,p_03428,Home,2690,83,120,sberpay,0,,407.27
ord_000000003,u_000024,ss_00000081,clk_0000000064,2026-07-02,p_04144,Pet,189,10,264,bank_card,0,,28.92
ord_000000004,u_000028,ss_00000097,clk_0000000068,2026-07-15,p_02740,Kids,614,19,208,bank_card,0,,127.83
ord_000000005,u_000037,ss_00000131,clk_0000000079,2026-07-10,p_02358,Books,363,40,182,bank_card,0,,50.31
ord_000000006,u_000047,ss_00000163,clk_0000000100,2026-07-21,p_02100,Electronics,6972,0,0,installment,0,,1295.4
ord_000000007,u_000050,ss_00000169,clk_0000000103,2026-07-08,p_02397,FMCG,315,0,275,ozon_card,0,,21.74
ord_000000008,u_000051,ss_00000171,clk_0000000106,2026-07-11,p_03345,Beauty,420,9,268,ozon_card,0,,82.57
ord_000000009,u_000060,ss_00000206,clk_0000000128,2026-07-14,p_02317,Auto,912,0,264,ozon_card,0,,62.65
ord_000000010,u_000068,ss_00000225,clk_0000000136,2026-07-08,p_03053,Electronics,5342,0,0,bank_card,0,,412.4
ord_000000011,u_000072,ss_00000245,clk_0000000145,2026-07-30,p_04138,FMCG,482,0,237,ozon_card,0,,60.15
ord_000000012,u_000083,ss_00000277,clk_0000000164,2026-07-21,p_01364,Fashion,933,127,116,bank_card,0,,228.03
ord_000000013,u_000083,ss_00000278,clk_0000000165,2026-07-10,p_02743,Pet,699,78,236,ozon_card,0,,157.55
ord_000000014,u_000102,ss_00000346,clk_0000000197,2026-07-27,p_00997,Pet,394,21,218,bank_card,0,,62.02
ord_000000015,u_000104,ss_00000361,clk_0000000202,2026-07-26,p_02368,Books,396,0,75,ozon_card,0,,47.2
