user_id,premium_start_date,premium_status,monthly_fee_rub,source,is_trial
u_000003,2026-05-06,active,199,marketplace,0
u_000005,2026-06-11,active,199,marketplace,0
u_000021,2026-05-14,active,199,experiment_prompt,0
u_000023,2025-09-07,active,199,marketplace,0
u_000024,2026-04-30,cancelled,199,promo,1
u_000026,2026-04-24,active,199,experiment_prompt,0
u_000031,2026-01-23,active,199,promo,0
u_000047,2025-12-21,active,199,bank_card,0
u_000050,2025-10-28,active,199,bank_card,0
u_000055,2026-05-31,active,199,partner,0
u_000061,2026-05-21,active,199,marketplace,1
u_000087,2026-06-30,active,199,bank_card,0
u_000092,2026-01-17,active,199,marketplace,0
u_000096,2025-10-18,active,199,experiment_prompt,0
u_000100,2026-06-14,active,199,bank_card,0
u_000104,2026-01-08,active,199,bank_card,0
u_000105,2026-06-29,active,199,experiment_prompt,1
u_000106,2025-01-30,active,199,bank_card,0
u_000107,2026-02-02,active,199,marketplace,0
u_000113,2026-06-01,active,199,bank_card,1
u_000114,2026-04-23,active,199,marketplace,0
u_000116,2025-02-05,active,199,marketplace,0
u_000117,2025-09-27,active,199,bank_card,0
u_000121,2026-06-05,active,199,marketplace,0
u_000126,2026-03-17,active,199,marketplace,0
u_000129,2026-06-26,active,199,marketplace,0
u_000138,2026-05-19,active,199,bank_card,1
u_000145,2025-09-02,active,199,experiment_prompt,0
u_000148,2026-06-24,active,199,marketplace,0
u_000149,2026-02-10,active,199,partner,0
u_000151,2026-07-21,active,199,bank_card,0
u_000152,2026-02-26,active,199,promo,0
u_000153,2025-06-09,active,199,marketplace,0
u_000162,2026-04-03,active,199,experiment_prompt,0
u_000167,2026-02-26,active,199,experiment_prompt,0
u_000171,2026-02-16,active,199,bank_card,0
u_000178,2026-05-29,active,199,marketplace,0
u_000180,2025-12-20,active,199,marketplace,1
u_000181,2025-12-09,active,199,promo,0
u_000184,2026-02-18,active,199,promo,0
u_000186,2026-02-01,active,199,partner,0
u_000187,2026-05-15,active,199,promo,0
u_000198,2026-02-01,active,199,experiment_prompt,1
u_000200,2026-05-31,active,199,marketplace,0
u_000201,2026-04-01,active,199,bank_card,0
u_000212,2026-06-28,cancelled,199,experiment_prompt,0
u_000217,2026-06-26,active,199,bank_card,1
u_000223,2025-06-11,active,199,experiment_prompt,0
u_000228,2026-06-10,active,199,experiment_prompt,0
u_000230,2025-06-03,active,199,marketplace,0
u_000232,2026-05-26,active,199,experiment_prompt,0
u_000237,2025-12-03,active,199,promo,0
u_000254,2025-11-14,active,199,marketplace,0
u_000255,2026-07-17,active,199,bank_card,1
u_000260,2025-11-30,active,199,marketplace,0
u_000262,2026-04-09,active,199,marketplace,0
u_000263,2026-06-01,active,199,marketplace,0
u_000270,2026-06-20,active,199,experiment_prompt,0
u_000275,2025-09-18,active,199,marketplace,0
u_000280,2026-06-26,active,199,bank_card,0
u_000282,2026-05-23,active,199,marketplace,0
u_000283,2025-11-06,active,199,marketplace,0
u_000293,2026-06-30,active,199,promo,1
u_000294,2024-06-01,active,199,marketplace,0
u_000299,2026-02-22,active,199,marketplace,0
u_000305,2026-06-09,active,199,bank_card,0
u_000308,2026-04-29,active,199,marketplace,0
u_000330,2026-04-18,active,199,partner,0
u_000332,2026-02-27,active,199,experiment_prompt,1
u_000338,2026-02-02,cancelled,199,marketplace,0
u_000345,2026-03-20,active,199,marketplace,0
u_000346,2026-06-18,active,199,marketplace,0
u_000347,2026-03-03,active,199,marketplace,0
u_000353,2025-11-16,active,199,marketplace,1
u_000361,2026-06-24,active,199,marketplace,1
u_000365,2026-07-08,cancelled,199,marketplace,1
u_000369,2026-06-15,active,199,marketplace,0
u_000372,2026-05-18,active,199,experiment_prompt,0
u_000373,2025-12-17,active,199,marketplace,0
u_000378,2026-05-24,active,199,marketplace,0
u_000381,2025-06-28,active,199,marketplace,0
u_000394,2026-06-10,active,199,promo,1
u_000395,2026-03-12,active,199,experiment_prompt,0
