product_id,category,seller_id,base_price_rub,gross_margin_rate,product_rating,is_private_label,created_date
p_00001,Sports,s_0122,515,0.1851,4.09,0,2026-01-11
p_00002,Fashion,s_0328,570,0.2855,4.5,0,2022-11-12
p_00003,Fashion,s_0515,1395,0.2658,4.79,0,2026-02-21
p_00004,Home,s_0525,4565,0.232,4.51,0,2023-02-18
p_00005,FMCG,s_0663,645,0.0579,4.02,0,2024-06-27
p_00006,Electronics,s_0106,4790,0.1296,3.95,0,2026-02-28
p_00007,Fashion,s_0229,1120,0.2907,3.89,0,2024-09-03
p_00008,Books,s_0616,99,0.1359,4.4,0,2024-11-09
p_00009,Home,s_0637,3520,0.1982,4.26,0,2022-03-21
p_00010,Auto,s_0570,1545,0.2439,4.02,0,2023-10-07
p_00011,Fashion,s_0431,946,0.2662,4.09,0,2021-01-10
p_00012,Home,s_0587,1462,0.2499,3.7,0,2022-09-04
p_00013,Home,s_0561,2492,0.1653,4.75,0,2024-04-20
p_00014,Fashion,s_0503,2104,0.2052,4.56,0,2025-07-17
p_00015,Fashion,s_0601,1127,0.2595,3.42,0,2022-08-13
p_00016,Beauty,s_0452,604,0.3639,4.15,0,2023-04-05
p_00017,Beauty,s_0246,1850,0.3097,4.04,0,2026-01-28
p_00018,Kids,s_0003,622,0.094,4.09,0,2024-05-02
p_00019,FMCG,s_0629,189,0.1442,4.17,1,2024-03-26
p_00020,Pet,s_0083,2103,0.2659,3.92,0,2025-08-03
p_00021,Sports,s_0114,1847,0.1346,4.13,0,2025-05-05
p_00022,Home,s_0295,743,0.2135,4.13,0,2022-01-31
p_00023,FMCG,s_0101,116,0.2101,5.0,0,2025-01-18
p_00024,Fashion,s_0461,1323,0.2635,4.65,0,2022-01-26
p_00025,FMCG,s_0012,191,0.1239,4.66,0,2026-02-11
p_00026,Beauty,s_0503,2191,0.3461,4.71,0,2026-03-05
p_00027,Pet,s_0696,1717,0.2311,5.0,1,2025-10-13
p_00028,FMCG,s_0322,311,0.0982,4.4,0,2024-01-14
p_00029,Electronics,s_0216,1483,0.1084,5.0,0,2025-10-16
p_00030,Electronics,s_0407,3309,0.1605,4.63,0,2021-02-14
p_00031,Sports,s_0258,1599,0.1721,5.0,0,2021-10-16
p_00032,Home,s_0357,1410,0.1971,4.53,0,2023-10-07
p_00033,Home,s_0366,644,0.2049,4.6,0,2023-12-17
p_00034,Kids,s_0386,1462,0.1277,4.32,0,2024-06-09
p_00035,Kids,s_0526,872,0.1813,4.26,0,2023-06-19
p_00036,FMCG,s_0654,666,0.2015,4.38,0,2022-09-07
p_00037,Home,s_0079,3589,0.2107,3.89,0,2021-01-21
p_00038,Home,s_0349,1023,0.2314,4.8,1,2021-07-14
p_00039,Sports,s_0092,669,0.2825,4.91,0,2025-02-21
p_00040,Fashion,s_0571,1272,0.2591,4.91,0,2021-01-03
p_00041,Home,s_0551,2847,0.2191,4.62,0,2021-01-22
p_00042,Home,s_0300,1449,0.1541,4.48,0,2025-01-01
p_00043,Electronics,s_0295,6922,0.0957,4.31,0,2025-03-31
p_00044,FMCG,s_0469,376,0.1584,4.93,0,2023-09-25
p_00045,Fashion,s_0145,943,0.1582,4.73,0,2025-11-10
p_00046,Pet,s_0661,661,0.1979,3.96,0,2022-07-26
p_00047,Fashion,s_0592,2299,0.2431,3.73,0,2022-11-15
p_00048,Fashion,s_0317,3111,0.2823,4.57,0,2021-03-24
p_00049,Fashion,s_0026,2299,0.2977,4.47,0,2022-01-27
p_00050,FMCG,s_0378,334,0.1987,4.42,0,2023-04-09
p_00051,Beauty,s_0373,487,0.3137,4.43,0,2023-07-01
p_00052,Beauty,s_0473,1168,0.2929,4.28,0,2025-06-25
p_00053,Sports,s_0433,3550,0.1855,4.17,1,2021-04-09
p_00054,Fashion,s_0093,545,0.249,4.47,1,2025-12-15
p_00055,FMCG,s_0409,422,0.1955,4.78,1,2021-06-19
p_00056,Kids,s_0600,503,0.1287,4.7,0,2021-07-11
p_00057,Fashion,s_0568,883,0.2788,4.72,0,2022-04-06
