seller_id,seller_type,seller_rating,is_crossborder,joined_date
s_0001,small,4.65,1,2023-12-30
s_0002,large,4.53,0,2021-03-14
s_0003,small,4.36,0,2022-07-05
s_0004,small,4.83,0,2022-10-08
s_0005,medium,4.39,0,2023-12-08
s_0006,small,4.28,1,2025-02-05
s_0007,small,4.66,0,2022-12-09
s_0008,medium,4.77,0,2023-08-28
s_0009,small,4.08,0,2022-09-11
s_0010,small,4.49,0,2024-03-30
s_0011,large,4.33,0,2022-06-29
s_0012,medium,4.36,0,2021-04-23
s_0013,small,4.68,1,2024-06-13
s_0014,small,4.51,0,2020-12-30
s_0015,medium,4.51,0,2022-01-03
s_0016,small,4.38,1,2021-01-04
s_0017,medium,4.21,0,2024-06-16
s_0018,small,4.77,0,2020-07-01
s_0019,small,4.49,0,2025-11-07
s_0020,medium,4.76,0,2020-07-28
s_0021,medium,4.37,0,2024-05-06
s_0022,small,4.62,0,2021-02-20
s_0023,small,4.55,0,2021-03-30
s_0024,small,4.78,0,2024-10-26
s_0025,small,4.5,0,2024-01-26
s_0026,small,4.61,0,2023-11-22
s_0027,small,4.93,0,2020-09-24
s_0028,small,4.94,0,2023-06-16
s_0029,small,4.35,1,2024-07-02
s_0030,medium,4.29,0,2021-02-01
s_0031,small,4.91,0,2021-03-26
s_0032,large,4.48,0,2025-06-20
s_0033,small,4.77,0,2023-08-12
s_0034,medium,4.33,0,2020-03-26
s_0035,large,4.41,0,2023-01-22
s_0036,small,4.38,0,2020-06-25
s_0037,small,5.0,0,2023-09-20
s_0038,large,4.38,1,2023-10-26
s_0039,small,4.53,0,2025-10-14
s_0040,medium,4.54,0,2025-07-19
s_0041,medium,4.67,0,2022-06-09
s_0042,medium,4.54,0,2023-08-05
s_0043,large,4.46,0,2021-09-14
s_0044,large,4.45,0,2021-05-03
s_0045,small,4.61,1,2022-04-07
s_0046,medium,4.3,0,2022-06-07
s_0047,medium,4.01,1,2025-11-11
s_0048,small,4.82,0,2021-07-30
s_0049,small,4.61,0,2022-12-23
s_0050,medium,4.83,0,2025-02-04
s_0051,small,4.38,0,2021-06-20
s_0052,small,4.65,0,2025-10-12
s_0053,small,4.6,0,2024-01-17
s_0054,large,4.67,1,2024-12-07
s_0055,small,4.43,0,2021-11-15
s_0056,small,4.26,0,2025-08-20
s_0057,small,4.33,0,2022-04-24
s_0058,small,5.0,0,2025-02-05
s_0059,small,4.65,0,2022-02-10
s_0060,small,4.92,0,2023-10-26
s_0061,large,4.3,0,2020-08-22
s_0062,small,4.38,0,2021-12-02
s_0063,small,4.44,0,2022-11-30
s_0064,large,4.89,0,2020-12-21
s_0065,medium,4.45,0,2020-01-13
s_0066,small,4.52,0,2020-08-04
s_0067,small,4.23,0,2024-10-28
s_0068,small,4.54,0,2024-12-17
s_0069,large,4.17,0,2022-04-15
s_0070,small,4.39,0,2025-08-22
s_0071,small,4.82,1,2025-04-07
s_0072,medium,4.13,0,2024-03-04
s_0073,large,4.81,0,2021-10-19
s_0074,medium,4.14,0,2023-07-02
s_0075,small,4.43,0,2025-03-01
s_0076,medium,4.86,0,2020-12-13
s_0077,small,4.44,0,2022-06-04
s_0078,small,4.34,1,2021-04-25
s_0079,small,4.85,0,2021-04-07
s_0080,medium,4.13,1,2023-01-28
s_0081,medium,4.98,0,2023-06-02
s_0082,large,4.48,0,2024-05-10
s_0083,medium,4.46,0,2025-03-02
s_0084,small,5.0,1,2023-05-19
s_0085,medium,4.63,0,2024-04-27
s_0086,small,4.59,0,2021-05-04
s_0087,medium,4.41,0,2020-05-13
s_0088,small,4.51,0,2021-09-26
s_0089,small,4.79,0,2022-08-23
s_0090,small,4.82,0,2024-06-08
s_0091,small,4.18,0,2020-04-08
s_0092,small,4.66,1,2021-09-16
s_0093,medium,4.1,0,2025-12-28
s_0094,medium,4.5,0,2021-01-23
s_0095,small,4.78,0,2022-10-01
s_0096,small,4.68,1,2022-01-07
s_0097,small,4.74,0,2025-12-14
s_0098,large,4.87,0,2023-12-12
s_0099,medium,4.56,0,2023-04-02
s_0100,small,4.46,0,2020-03-16
s_0101,medium,4.51,0,2021-09-14
s_0102,small,4.56,0,2021-02-24
s_0103,large,4.39,0,2024-10-12
s_0104,small,4.13,0,2024-10-09
s_0105,small,4.52,0,2020-06-27
s_0106,medium,4.04,0,2025-05-21
s_0107,medium,4.76,0,2020-05-22
s_0108,small,4.34,0,2023-03-14
s_0109,small,4.31,1,2022-09-13
s_0110,large,4.57,0,2025-12-10
s_0111,small,4.89,0,2023-02-10
s_0112,small,4.78,0,2024-04-26
s_0113,small,4.15,0,2023-08-31
s_0114,medium,4.66,0,2024-11-19
s_0115,small,4.23,0,2022-11-27
s_0116,medium,4.14,0,2021-02-21
s_0117,medium,4.54,0,2024-01-07
s_0118,medium,4.27,0,2021-07-03
s_0119,large,4.14,0,2024-10-29
s_0120,medium,4.9,0,2020-07-19
s_0121,small,3.62,0,2022-07-22
s_0122,small,4.62,0,2021-11-13
s_0123,small,5.0,0,2025-03-20
s_0124,small,4.09,0,2023-09-12
s_0125,large,4.59,0,2022-11-04
s_0126,small,4.1,0,2022-12-30
s_0127,medium,4.56,0,2023-08-04
s_0128,medium,4.75,0,2022-03-02
s_0129,large,4.01,0,2021-09-06
s_0130,small,4.36,1,2021-05-06
s_0131,small,4.62,0,2020-07-03
s_0132,medium,4.59,0,2025-05-23
s_0133,large,4.15,0,2024-03-03
s_0134,small,4.65,0,2025-09-17
s_0135,medium,4.25,0,2020-01-11
s_0136,medium,4.1,0,2025-01-28
s_0137,small,4.46,0,2022-03-16
s_0138,small,4.58,0,2020-07-29
s_0139,large,4.26,0,2025-06-27
s_0140,small,4.6,0,2024-07-09
s_0141,small,4.52,1,2025-09-08
s_0142,small,4.27,1,2020-06-25
s_0143,medium,4.07,0,2021-07-05
s_0144,small,4.6,0,2025-08-15
s_0145,small,4.25,0,2020-08-17
s_0146,medium,4.63,0,2021-01-03
s_0147,medium,4.68,0,2023-06-03
s_0148,small,4.52,0,2025-12-04
s_0149,small,4.59,0,2022-12-12
s_0150,small,4.41,0,2021-07-09
s_0151,medium,4.18,0,2021-04-20
s_0152,small,4.58,0,2024-08-25
s_0153,large,4.41,0,2025-09-03
s_0154,small,4.62,0,2022-08-14
s_0155,small,4.51,0,2022-11-06
s_0156,small,4.68,0,2024-02-13
s_0157,large,4.71,1,2023-05-24
s_0158,medium,4.38,0,2023-02-16
s_0159,medium,4.57,0,2023-06-11
s_0160,small,4.69,0,2024-12-06
s_0161,small,4.33,0,2025-09-28
s_0162,small,4.69,0,2023-09-26
s_0163,small,4.74,0,2022-05-22
s_0164,small,4.32,0,2023-01-04
s_0165,small,4.33,0,2021-10-01
s_0166,medium,4.46,0,2024-12-08
s_0167,large,4.46,1,2022-06-29
s_0168,small,4.48,1,2022-02-27
s_0169,medium,4.37,0,2025-12-03
s_0170,medium,4.7,0,2023-05-03
s_0171,medium,4.72,0,2020-11-02
s_0172,small,4.0,0,2020-05-07
s_0173,small,4.76,0,2025-09-23
s_0174,small,4.04,1,2020-11-21
s_0175,medium,4.94,0,2020-06-15
s_0176,small,4.72,0,2020-05-28
s_0177,small,4.75,1,2020-05-08
s_0178,medium,4.71,0,2024-02-28
s_0179,small,4.34,0,2022-09-30
s_0180,large,4.62,0,2021-07-19
s_0181,small,4.34,0,2020-12-13
s_0182,small,4.52,0,2023-06-20
s_0183,small,4.61,1,2022-07-20
s_0184,small,4.53,0,2025-10-18
s_0185,large,4.71,0,2022-03-24
s_0186,large,5.0,0,2020-12-13
s_0187,small,4.28,0,2022-09-26
s_0188,medium,4.58,0,2023-01-24
s_0189,medium,4.4,0,2020-06-17
s_0190,small,4.91,0,2023-02-04
s_0191,medium,4.66,1,2023-03-21
