ticket_id,user_id,order_id,ticket_date,reason,sentiment_score,resolved_within_24h
t_00000001,u_000020,ord_000000002,2026-07-14,delivery_delay,-0.4,1
t_00000002,u_000060,ord_000000009,2026-07-17,product_quality,-1.0,1
t_00000003,u_000303,ord_000000046,2026-07-21,product_quality,0.752,0
t_00000004,u_000374,ord_000000056,2026-07-28,payment_issue,-0.181,1
t_00000005,u_000399,ord_000000062,2026-07-15,delivery_delay,0.296,1
t_00000006,u_000414,ord_000000064,2026-07-14,delivery_delay,0.019,1
t_00000007,u_000608,ord_000000098,2026-07-17,delivery_delay,-1.0,1
t_00000008,u_000739,ord_000000115,2026-07-15,payment_issue,0.113,0
t_00000009,u_001226,ord_000000184,2026-07-28,return_request,-0.228,1
t_00000010,u_001228,ord_000000185,2026-07-09,recommendation_quality,-0.343,1
t_00000011,u_001472,ord_000000228,2026-08-01,product_quality,0.879,0
t_00000012,u_001576,ord_000000241,2026-07-16,payment_issue,0.14,1
t_00000013,u_001776,ord_000000274,2026-07-23,product_quality,0.522,0
t_00000014,u_001992,ord_000000301,2026-07-20,delivery_delay,0.102,0
t_00000015,u_002312,ord_000000355,2026-07-08,wrong_item,-0.221,1
t_00000016,u_002396,ord_000000369,2026-07-17,return_request,0.988,1
t_00000017,u_002873,ord_000000428,2026-07-29,product_quality,-0.23,0
t_00000018,u_002893,ord_000000432,2026-07-23,wrong_item,-0.265,1
t_00000019,u_003094,ord_000000454,2026-07-15,return_request,-0.762,1
t_00000020,u_003098,ord_000000458,2026-07-09,delivery_delay,-0.164,1
t_00000021,u_003126,ord_000000461,2026-07-15,return_request,0.34,1
t_00000022,u_003323,ord_000000489,2026-07-17,recommendation_quality,0.068,1
t_00000023,u_003501,ord_000000507,2026-07-08,delivery_delay,-0.285,1
t_00000024,u_003663,ord_000000526,2026-07-11,delivery_delay,0.671,1
t_00000025,u_003991,ord_000000581,2026-07-29,delivery_delay,-0.845,1
t_00000026,u_004049,ord_000000590,2026-07-24,product_quality,0.384,1
t_00000027,u_004310,ord_000000629,2026-07-27,product_quality,-0.124,1
t_00000028,u_004381,ord_000000637,2026-07-17,delivery_delay,0.242,1
t_00000029,u_004469,ord_000000651,2026-07-10,recommendation_quality,-0.347,1
t_00000030,u_004480,ord_000000653,2026-07-18,delivery_delay,0.542,1
t_00000031,u_004786,ord_000000701,2026-07-10,delivery_delay,-0.298,1
t_00000032,u_004869,ord_000000708,2026-07-31,wrong_item,-0.483,1
t_00000033,u_004965,ord_000000729,2026-07-11,product_quality,-0.154,1
t_00000034,u_004980,ord_000000730,2026-07-09,payment_issue,0.102,1
t_00000035,u_005181,ord_000000756,2026-07-08,product_quality,1.0,1
t_00000036,u_005272,ord_000000771,2026-07-05,delivery_delay,0.389,0
t_00000037,u_005282,ord_000000773,2026-07-13,return_request,0.888,1
t_00000038,u_005526,ord_000000813,2026-07-23,wrong_item,-0.358,0
t_00000039,u_005758,ord_000000844,2026-07-24,delivery_delay,0.467,1
t_00000040,u_005962,ord_000000875,2026-07-11,wrong_item,0.351,1
t_00000041,u_005984,ord_000000879,2026-07-20,return_request,0.242,0
t_00000042,u_006198,ord_000000921,2026-07-15,payment_issue,-0.26,0
t_00000043,u_006259,ord_000000931,2026-07-02,wrong_item,-0.404,0
t_00000044,u_006394,ord_000000949,2026-07-16,return_request,0.096,1
t_00000045,u_006398,ord_000000952,2026-07-18,product_quality,-0.183,1
t_00000046,u_006492,ord_000000969,2026-07-22,wrong_item,0.801,1
t_00000047,u_006556,ord_000000974,2026-07-10,return_request,0.728,0
t_00000048,u_006575,ord_000000976,2026-07-22,delivery_delay,-0.522,1
t_00000049,u_006628,ord_000000983,2026-07-28,recommendation_quality,-0.242,1
t_00000050,u_006708,ord_000001003,2026-07-26,delivery_delay,0.084,1
t_00000051,u_006745,ord_000001008,2026-07-22,wrong_item,-0.061,0
t_00000052,u_006853,ord_000001026,2026-07-14,return_request,-0.333,1
t_00000053,u_006993,ord_000001046,2026-07-10,return_request,0.98,1
t_00000054,u_007065,ord_000001058,2026-07-12,delivery_delay,-0.748,1
t_00000055,u_007130,ord_000001066,2026-07-11,return_request,0.288,1
t_00000056,u_007200,ord_000001071,2026-07-14,payment_issue,-0.563,1
t_00000057,u_007870,ord_000001160,2026-07-21,product_quality,0.034,1
t_00000058,u_007972,ord_000001175,2026-07-25,payment_issue,-0.573,1
t_00000059,u_008028,ord_000001183,2026-07-04,return_request,0.184,0
t_00000060,u_008499,ord_000001263,2026-07-23,payment_issue,-0.363,1
t_00000061,u_008607,ord_000001282,2026-07-14,payment_issue,-0.624,1
t_00000062,u_008674,ord_000001292,2026-07-22,delivery_delay,-0.151,0
t_00000063,u_008683,ord_000001295,2026-07-28,product_quality,-0.169,1
t_00000064,u_008782,ord_000001310,2026-07-31,product_quality,0.996,0
t_00000065,u_008918,ord_000001330,2026-07-13,product_quality,0.052,0
t_00000066,u_009081,ord_000001353,2026-07-23,recommendation_quality,0.303,1
t_00000067,u_009248,ord_000001374,2026-07-10,recommendation_quality,0.572,1
t_00000068,u_009835,ord_000001444,2026-07-25,payment_issue,-0.023,1
t_00000069,u_009926,ord_000001458,2026-07-26,product_quality,-0.689,0
t_00000070,u_010148,ord_000001479,2026-07-19,return_request,0.165,0
t_00000071,u_010344,ord_000001506,2026-07-16,payment_issue,-0.504,1
t_00000072,u_010508,ord_000001523,2026-08-01,recommendation_quality,0.337,1
t_00000073,u_010509,ord_000001524,2026-07-14,recommendation_quality,-0.285,1
t_00000074,u_010551,ord_000001532,2026-07-29,return_request,-0.368,0
t_00000075,u_010642,ord_000001547,2026-07-29,product_quality,0.438,0
t_00000076,u_010643,ord_000001549,2026-07-14,return_request,-0.097,1
t_00000077,u_010694,ord_000001561,2026-07-13,product_quality,0.122,1
t_00000078,u_010878,ord_000001588,2026-07-14,payment_issue,-0.568,1
t_00000079,u_011141,ord_000001621,2026-07-18,payment_issue,-0.236,1
t_00000080,u_011685,ord_000001722,2026-07-03,return_request,0.776,0
