user_id,registration_date,region,device,age_group,traffic_source,is_premium,is_bot_candidate
u_000001,2026-04-29,Volga,android,18-24,paid_ads,0,0
u_000002,2026-02-25,Central Russia,android,35-44,direct,0,0
u_000003,2026-04-01,Moscow,web,18-24,push,1,0
u_000004,2026-03-08,Ural,ios,25-34,paid_ads,0,0
u_000005,2025-07-28,Central Russia,android,18-24,organic,1,0
u_000006,2025-08-01,Volga,android,18-24,push,0,0
u_000007,2025-05-30,Volga,android,55+,paid_ads,0,0
u_000008,2026-04-05,Moscow,ios,25-34,affiliate,0,0
u_000009,2025-05-19,Moscow,android,25-34,paid_ads,0,0
u_000010,2026-05-18,Central Russia,ios,35-44,push,0,0
u_000011,2026-05-31,Ural,android,45-54,paid_ads,0,1
u_000012,2025-11-15,Central Russia,ios,35-44,organic,0,0
u_000013,2026-03-29,Central Russia,android,25-34,paid_ads,0,0
u_000014,2025-06-27,South,ios,25-34,organic,0,0
u_000015,2026-03-28,Central Russia,web,35-44,paid_ads,0,0
u_000016,2026-03-08,Moscow,ios,25-34,affiliate,0,0
u_000017,2025-01-19,Central Russia,ios,25-34,direct,0,0
u_000018,2025-09-19,Siberia,android,35-44,direct,0,0
u_000019,2026-03-04,Central Russia,web,25-34,organic,0,0
u_000020,2025-10-01,Volga,ios,25-34,organic,0,0
u_000021,2024-12-04,Moscow,web,45-54,paid_ads,1,0
u_000022,2026-02-20,Central Russia,web,35-44,organic,0,0
u_000023,2026-03-03,South,android,25-34,paid_ads,1,0
u_000024,2025-12-29,Volga,android,45-54,push,1,0
u_000025,2026-02-05,Ural,android,25-34,organic,0,0
u_000026,2025-07-14,Central Russia,android,45-54,email,1,0
u_000027,2025-09-06,Moscow,web,25-34,organic,0,0
u_000028,2024-06-19,Volga,android,35-44,organic,0,0
u_000029,2026-06-22,Central Russia,ios,25-34,direct,0,0
u_000030,2025-01-10,Moscow,android,18-24,organic,0,0
u_000031,2026-02-12,Siberia,web,35-44,push,1,0
u_000032,2026-02-23,Siberia,android,35-44,affiliate,0,0
u_000033,2025-08-28,Volga,android,18-24,direct,0,0
u_000034,2026-06-15,Saint Petersburg,android,35-44,email,0,0
u_000035,2026-04-21,Siberia,ios,25-34,affiliate,0,0
u_000036,2026-05-15,South,ios,35-44,affiliate,0,0
u_000037,2026-06-10,Siberia,android,35-44,organic,0,0
u_000038,2026-06-06,Central Russia,ios,25-34,push,0,0
u_000039,2025-08-08,Ural,android,35-44,organic,0,0
u_000040,2025-06-19,Volga,web,45-54,paid_ads,0,0
u_000041,2026-06-18,Siberia,android,25-34,direct,0,0
